[INFO ] 2018-03-20 16:24:47,774 [localhost-startStop-1] Mapped URL path [/repositories/*/transactions/*] onto handler 'rdf4jRepositoryTransactionController'
[INFO ] 2018-03-20 16:24:47,774 [localhost-startStop-1] Mapped URL path [/repositories/*/size] onto handler 'rdf4jRepositorySizeController'
[INFO ] 2018-03-20 16:24:47,775 [localhost-startStop-1] Mapped URL path [/repositories/*/transactions] onto handler 'rdf4jRepositoryTransactionStartController'
[INFO ] 2018-03-20 16:24:47,775 [localhost-startStop-1] Mapped URL path [/repositories/*/contexts] onto handler 'rdf4jRepositoryContextsController'
[INFO ] 2018-03-20 16:24:47,779 [localhost-startStop-1] Mapped URL path [/repositories/*] onto handler 'rdf4jRepositoryController'
[INFO ] 2018-03-20 16:24:47,780 [localhost-startStop-1] Mapped URL path [/repositories/*/namespaces/*] onto handler 'rdf4jRepositoryNamespaceController'
[INFO ] 2018-03-20 16:24:47,782 [localhost-startStop-1] Mapped URL path [/repositories/*/statements] onto handler 'rdf4jRepositoryStatementsController'
[INFO ] 2018-03-20 16:24:47,782 [localhost-startStop-1] Mapped URL path [/repositories/*/rdf-graphs/*] onto handler 'rdf4jRepositoryGraphController'
[INFO ] 2018-03-20 16:24:47,782 [localhost-startStop-1] Mapped URL path [/repositories/*/rdf-graphs] onto handler 'rdf4jRepositoryContextsController'
[INFO ] 2018-03-20 16:24:47,783 [localhost-startStop-1] Mapped URL path [/home/overview.view] onto handler 'filenameViewController'
[INFO ] 2018-03-20 16:24:47,783 [localhost-startStop-1] Mapped URL path [/overview.view] onto handler 'filenameViewController'
[INFO ] 2018-03-20 16:24:47,841 [localhost-startStop-1] FrameworkServlet 'rdf4j-http-server': initialization completed in 1531 ms
[INFO ] 2018-03-20 16:39:04,979 [localhost-startStop-2] Closing WebApplicationContext for namespace 'rdf4j-http-server-servlet': startup date [Tue Mar 20 16:24:46 UTC 2018]; root of context hierarchy
[INFO ] 2018-03-20 16:39:43,375 [localhost-startStop-1] Logback logging API implementation is configured.
